Article list3,Article list4,TypeCategory,TypeCarrier,TypeService
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); УСЛУГИ В СИСТЕМЕ ОБРАЗОВАНИЯ,ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); СЕМИНАРЫ И ТРЕНИНГИ,ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); УСЛУГИ В СИСТЕМЕ ОБРАЗОВАНИЯ,ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); СЕМИНАРЫ И ТРЕНИНГИ,ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); СПЕЦИАЛИЗИРОВАННЫЕ МЕРОПРИЯТИЯ,"ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ФОРУМЫ, КОНГРЕССЫ, КОНФЕРЕНЦИИ",ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); УСЛУГИ В СИСТЕМЕ ОБРАЗОВАНИЯ,КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); СЕМИНАРЫ И ТРЕНИНГИ,ads_Exclude,Desktop,ads_Exclude
МАССОВЫЕ ЗРЕЛИЩА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОНКУРСЫ; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); УСЛУГИ В СИСТЕМЕ ОБРАЗОВАНИЯ,ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); СЕМИНАРЫ И ТРЕНИНГИ,ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,Desktop,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); СПЕЦИАЛИЗИРОВАННЫЕ МЕРОПРИЯТИЯ,"ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ФОРУМЫ, КОНГРЕССЫ, КОНФЕРЕНЦИИ",ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); СПЕЦИАЛИЗИРОВАННЫЕ МЕРОПРИЯТИЯ,"ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ФОРУМЫ, КОНГРЕССЫ, КОНФЕРЕНЦИИ",ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ БУХГАЛТЕРИИ; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),КОСВЕННАЯ РЕКЛАМА; ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); СПЕЦИАЛИЗИРОВАННЫЕ МЕРОПРИЯТИЯ,"ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ФОРУМЫ, КОНГРЕССЫ, КОНФЕРЕНЦИИ",ads_Exclude,Desktop,ads_Exclude
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); СПЕЦИАЛИЗИРОВАННЫЕ МЕРОПРИЯТИЯ,"ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ФОРУМЫ, КОНГРЕССЫ, КОНФЕРЕНЦИИ",ads_Exclude,ads_Exclude,ads_Exclude
КОМПЬЮТЕРНАЯ ТЕХНИКА И ПО (РАЗНОЕ); ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); УСЛУГИ В СИСТЕМЕ ОБРАЗОВАНИЯ,ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ); ПРОДАЖА КОМПЬЮТЕРНОЙ ТЕХНИКИ И ПО; СЕМИНАРЫ И ТРЕНИНГИ,ads_Exclude,ads_Exclude,ads_Exclude
УСЛУГИ ПО ПРОВЕДЕНИЮ ДОСУГА,УСЛУГИ БУКМЕКЕРСКИЕ,Bets,Desktop,Betting
КОСВЕННАЯ РЕКЛАМА; УСЛУГИ ПО ПРОВЕДЕНИЮ ДОСУГА,КОСВЕННАЯ РЕКЛАМА; УСЛУГИ БУКМЕКЕРСКИЕ,Bets,Desktop,Betting
КОСВЕННАЯ РЕКЛАМА; РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; КОСВЕННАЯ РЕКЛАМА; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
КОСВЕННАЯ РЕКЛАМА; РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; КОСВЕННАЯ РЕКЛАМА; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
КОСВЕННАЯ РЕКЛАМА; РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; КОСВЕННАЯ РЕКЛАМА; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
КОСВЕННАЯ РЕКЛАМА; РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; КОСВЕННАЯ РЕКЛАМА; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
КОСВЕННАЯ РЕКЛАМА; РЕСУРСЫ В ИНТЕРНЕТ; УСЛУГИ ПРОЧИЕ БЫТОВЫЕ,ДОСТАВКА ОБЕДОВ; КОСВЕННАЯ РЕКЛАМА; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ,Services,App,Delivery
ИНТЕРНЕТ-ТОРГОВЛЯ,"ИНТЕРНЕТ-БУТИКИ, МАГАЗИНЫ FASHION ТОВАРОВ",E-commerce,Desktop,Fashion
ИНТЕРНЕТ-ТОРГОВЛЯ; КОСВЕННАЯ РЕКЛАМА; ОДЕЖДА,"ГОЛОВНЫЕ УБОРЫ; ИНТЕРНЕТ-БУТИКИ, МАГАЗИНЫ FASHION ТОВАРОВ; КОСВЕННАЯ РЕКЛАМА",E-commerce,Desktop,Fashion
ИНТЕРНЕТ-ТОРГОВЛЯ; СТРОИТЕЛЬНЫЕ ИНСТРУМЕНТЫ И ОБОРУДОВАНИЕ,ИНТЕРНЕТ-МАГАЗИНЫ ТОВАРОВ ДЛЯ СТРОИТ. И РЕМОНТА; ЭЛЕКТРОИНСТРУМЕНТЫ,E-commerce,Desktop,DIY
КОСВЕННАЯ РЕКЛАМА; УСЛУГИ ПО ПРОВЕДЕНИЮ ДОСУГА,КОСВЕННАЯ РЕКЛАМА; УСЛУГИ БУКМЕКЕРСКИЕ,Bets,Desktop,Betting
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Classifieds,Desktop,Auto
МАССОВЫЕ ЗРЕЛИЩА; РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ; КОНКУРСЫ,Classifieds,Desktop,Auto
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Media
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-СУПЕРМАРКЕТЫ,E-commerce,Desktop,Food
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-СУПЕРМАРКЕТЫ,E-commerce,Desktop,Food
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Government
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Services,Desktop,Sport
ИНТЕРНЕТ-ТОРГОВЛЯ; СПОРТИВНЫЕ ТОВАРЫ (РАЗНОЕ),ИНТЕРНЕТ-МАГАЗИНЫ СПОРТИВНЫХ ТОВАРОВ; СПОРТИВНЫЕ ТОВАРЫ (РАЗНОЕ),E-commerce,Desktop,Sport
МАССОВЫЕ ЗРЕЛИЩА; РЕСУРСЫ В ИНТЕРНЕТ; ТЕЛЕВИДЕНИЕ,ВЕЧЕРИНКИ; МОБИЛЬНЫЕ ПРИЛОЖЕНИЯ; ТЕЛЕКОМПАНИИ И ТЕЛЕКАНАЛЫ,Services,App,Entertainment
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Media
РЕСУРСЫ В ИНТЕРНЕТ,ОНЛАЙН-ИГРА,Games,App,Strategy
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Services,Desktop,TV
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО); ТЕЛЕВИДЕНИЕ,ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ ДЛЯ МОБИЛЬНЫХ УСТРОЙСТВ; ТЕЛЕКОМПАНИИ И ТЕЛЕКАНАЛЫ,Services,App,TV
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ КОМПЬЮТЕРОВ И ОРГТЕХНИКИ,E-commerce,Desktop,Tech
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ КОМПЬЮТЕРОВ И ОРГТЕХНИКИ,Services,Desktop,Tech
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ПАРФЮМЕРИИ И КОСМЕТИКИ,E-commerce,Desktop,Cosmetics
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Services,Desktop,Navigation
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ,E-commerce,Desktop,Food
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ АВТОЗАПЧАСТЕЙ,E-commerce,Desktop,Auto
ПРОГРАММНЫЕ ПРОДУКТЫ (ПО),ПРОГРАММНЫЕ ПРОДУКТЫ (ПО) (РАЗНОЕ),ads_Exclude,ads_Exclude,ads_Exclude
УСЛУГИ ПО ТУРИЗМУ И ОТДЫХУ,ОНЛАЙН-ПРОДАЖА ТУРИСТИЧЕСКИХ УСЛУГ,Services,Desktop,Travel
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Business
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,E-commerce,Desktop,Tech
ИНТЕРНЕТ-ТОРГОВЛЯ,ИНТЕРНЕТ-МАГАЗИНЫ ТОВАРОВ ДЛЯ СТРОИТ. И РЕМОНТА,E-commerce,Desktop,DIY
ПЕЧАТНЫЕ ИЗДАНИЯ И ПРОЧАЯ ПОЛИГРАФИЯ; РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ; ЖУРНАЛЫ,Portals,Desktop,Entertainment
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Entertainment
РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ,Portals,Desktop,Media
ПАРФЮМЕРИЯ ДЛЯ ЖЕНЩИН; РЕСУРСЫ В ИНТЕРНЕТ,WEB-САЙТ; ПАРФЮМ ДЛЯ ЖЕНЩИН,Portals,Desktop,Women
